nama_tempat_wisata,link,latitude,longitude,rating,jumlah_rating,kategori
Taman Budaya Sentul City,https://www.google.com/maps/place/Taman+Budaya+Sentul+City/data=!4m7!3m6!1s0x2de423a153dbb7df:0xaac1aacd454d4019!8m2!3d-6.5840022!4d106.8827827!16s%2Fg%2F1hm2399fm!19sChIJ37fbU6Ej5C0RGUBNRc2qwao?authuser=0&hl=id&rclk=1,-6.5840022,106.8827827,4.5,22727.0,Budaya
Leuwi Kunten Sentul Bogor,https://www.google.com/maps/place/Leuwi+Kunten+Sentul+Bogor/data=!4m7!3m6!1s0x2e69b9b3ba4bab7f:0x55c0be75aa77f03d!8m2!3d-6.578766!4d106.9189104!16s%2Fg%2F11n73frrc8!19sChIJf6tLurO5aS4RPfB3qnW-wFU?authuser=0&hl=id&rclk=1,-6.578766,106.9189104,4.3,1785.0,Umum
ECOART PARK Sentul City,https://www.google.com/maps/place/ECOART+PARK+Sentul+City/data=!4m7!3m6!1s0x2e69c6ebc0f289c5:0xf894747033caad39!8m2!3d-6.5687222!4d106.8457512!16s%2Fg%2F11b6x9_n9z!19sChIJxYnywOvGaS4ROa3KM3B0lPg?authuser=0&hl=id&rclk=1,-6.5687222,106.8457512,4.4,11780.0,Alam
Goa Garunggang - Puncak Dua,https://www.google.com/maps/place/Goa+Garunggang+-+Puncak+Dua/data=!4m7!3m6!1s0x2e69b8f2b423c98f:0xdbb608bf20de3406!8m2!3d-6.57315!4d106.936201!16s%2Fg%2F11c6lp4wrz!19sChIJj8kjtPK4aS4RBjTeIL8Itts?authuser=0&hl=id&rclk=1,-6.57315,106.936201,4.6,765.0,Alam
Taman Wisata Alam Gunung Pancar,https://www.google.com/maps/place/Taman+Wisata+Alam+Gunung+Pancar/data=!4m7!3m6!1s0x2e69c7791e515175:0x3f7386a4724f7630!8m2!3d-6.5805618!4d106.9036852!16s%2Fg%2F11bw3c7jgt!19sChIJdVFRHnnHaS4RMHZPcqSGcz8?authuser=0&hl=id&rclk=1,-6.5805618,106.9036852,4.0,4060.0,Alam
"Curug Aren, Sentul Forest Club","https://www.google.com/maps/place/Curug+Aren,+Sentul+Forest+Club/data=!4m7!3m6!1s0x2e69c703caf2518d:0x8f2b6f31e2a06f45!8m2!3d-6.6183819!4d106.9082798!16s%2Fg%2F11sbkbvnx4!19sChIJjVHyygPHaS4RRW-g4jFvK48?authuser=0&hl=id&rclk=1",-6.6183819,106.9082798,4.4,444.0,Alam
JungleLand Adventure Theme Park,https://www.google.com/maps/place/JungleLand+Adventure+Theme+Park/data=!4m7!3m6!1s0x2e69c7094bce937d:0x4adbce6cd63515dd!8m2!3d-6.5722214!4d106.8947026!16s%2Fg%2F1hm50d40n!19sChIJfZPOSwnHaS4R3RU11mzO20o?authuser=0&hl=id&rclk=1,-6.5722214,106.8947026,4.4,31171.0,Rekreasi
Sentul Nirwana,https://www.google.com/maps/place/Sentul+Nirwana/data=!4m7!3m6!1s0x2e69c775a9782cc9:0x77781998ad062007!8m2!3d-6.5815736!4d106.892206!16s%2Fg%2F11g8vqmdlj!19sChIJySx4qXXHaS4RByAGrZgZeHc?authuser=0&hl=id&rclk=1,-6.5815736,106.892206,4.6,2465.0,Umum
Treking sentull,https://www.google.com/maps/place/Treking+sentull/data=!4m7!3m6!1s0x2e69b8538fd00129:0xfa8b547834f0ac2c!8m2!3d-6.5893251!4d106.9546789!16s%2Fg%2F11cm02mrhj!19sChIJKQHQj1O4aS4RLKzwNHhUi_o?authuser=0&hl=id&rclk=1,-6.5893251,106.9546789,4.3,10291.0,Umum
Leuwi Pangaduan,https://www.google.com/maps/place/Leuwi+Pangaduan/data=!4m7!3m6!1s0x2e69c78b969cad9f:0x47d33c093aa63764!8m2!3d-6.6007184!4d106.9061239!16s%2Fg%2F11j6zh6h6p!19sChIJn62clovHaS4RZDemOgk800c?authuser=0&hl=id&rclk=1,-6.6007184,106.9061239,4.4,1421.0,Umum
Tugu Pancakarsa Sentul,https://www.google.com/maps/place/Tugu+Pancakarsa+Sentul/data=!4m7!3m6!1s0x2e69c102371add19:0x712444476b1821dc!8m2!3d-6.5325362!4d106.8533392!16s%2Fg%2F11smfy4mgb!19sChIJGd0aNwLBaS4R3CEYa0dEJHE?authuser=0&hl=id&rclk=1,-6.5325362,106.8533392,4.7,427.0,Umum
Hutan Hujan Sentul,https://www.google.com/maps/place/Hutan+Hujan+Sentul/data=!4m7!3m6!1s0x2e69b99106288ee3:0xa1a1a08723a58c1a!8m2!3d-6.5792586!4d106.9277932!16s%2Fg%2F11rc46fdmy!19sChIJ444oBpG5aS4RGoylI4egoaE?authuser=0&hl=id&rclk=1,-6.5792586,106.9277932,4.7,340.0,Alam
Wisata Bukit Domba,https://www.google.com/maps/place/Wisata+Bukit+Domba/data=!4m7!3m6!1s0x2e69c9004a61e28f:0xcb6829b09c739e1d!8m2!3d-6.6248368!4d106.9063456!16s%2Fg%2F11y66960h1!19sChIJj-JhSgDJaS4RHZ5znLApaMs?authuser=0&hl=id&rclk=1,-6.6248368,106.9063456,4.6,454.0,Alam
KM 0 Sentul,https://www.google.com/maps/place/KM+0+Sentul/data=!4m7!3m6!1s0x2e69c7c77ef5d28b:0xff255ccc323e7103!8m2!3d-6.6191938!4d106.9014081!16s%2Fg%2F11kcjl3cv8!19sChIJi9L1fsfHaS4RA3E-MsxcJf8?authuser=0&hl=id&rclk=1,-6.6191938,106.9014081,4.7,1432.0,Umum
Curug Cinta Putri Kencana,https://www.google.com/maps/place/Curug+Cinta+Putri+Kencana/data=!4m7!3m6!1s0x2e69b838fc4ad18f:0xe86fe16504b7013a!8m2!3d-6.6078603!4d106.943515!16s%2Fg%2F11c1pqtqx8!19sChIJj9FK_Di4aS4ROgG3BGXhb-g?authuser=0&hl=id&rclk=1,-6.6078603,106.943515,4.5,313.0,Alam
Curug Putri Kencana,https://www.google.com/maps/place/Curug+Putri+Kencana/data=!4m7!3m6!1s0x2e69b869f7bedbd7:0xf83e4aee23eb911b!8m2!3d-6.5977311!4d106.9350111!16s%2Fg%2F11cs01tk_c!19sChIJ19u-92m4aS4RG5HrI-5KPvg?authuser=0&hl=id&rclk=1,-6.5977311,106.9350111,4.4,1725.0,Alam
Next Level Adventures (NLA),https://www.google.com/maps/place/Next+Level+Adventures+%28NLA%29/data=!4m7!3m6!1s0x2e69c725e00956f1:0xedab3d779a8c8a67!8m2!3d-6.5770793!4d106.8905171!16s%2Fg%2F11py7lgqn6!19sChIJ8VYJ4CXHaS4RZ4qMmnc9q-0?authuser=0&hl=id&rclk=1,-6.5770793,106.8905171,4.6,255.0,Umum
